Date,Value
2019/9/3,0.01278192
2019/9/4,-0.003342139
2019/9/5,-0.010175216
2019/9/6,-0.024182928
2019/9/9,-0.020653572
2019/9/10,-0.020647906
2019/9/11,0.010959098
2019/9/12,0.000219072
2019/9/13,0.000712763
2019/9/16,-0.005732104
2019/9/17,0.001007538
2019/9/18,0.001024831
2019/9/19,0.000106916
2019/9/20,0.016831185
2019/9/23,0.011481151
2019/9/24,0.016811477
2019/9/25,-0.014936172
2019/9/26,-0.022895046
2019/9/27,-0.025542847
2019/9/30,-0.021800164
2019/10/1,0.007157562
2019/10/2,0.026989105
2019/10/3,0.009380641
2019/10/4,0.004114974
2019/10/7,-0.004321118
2019/10/8,0.005092927
2019/10/9,-0.007443491
2019/10/10,-0.020102286
2019/10/11,-0.006136694
2019/10/14,-0.003929593
2019/10/15,0.002102578
2019/10/16,0.003465837
2019/10/17,0.000802144
2019/10/18,0.003896505
2019/10/21,-0.005903965
2019/10/22,0.005038731
2019/10/23,0.003954639
2019/10/24,0.021010453
2019/10/25,-0.006926192
2019/10/28,-0.008459863
2019/10/29,-0.010008341
2019/10/30,0.016758965
2019/10/31,0.012364218
2019/11/1,0.009303605
2019/11/4,-0.018269374
2019/11/5,-0.014373788
2019/11/6,-0.014262746
2019/11/7,-0.020075745
2019/11/8,-0.01790509
2019/11/11,-0.020094092
2019/11/12,0.002586609
2019/11/13,0.006413401
2019/11/14,0.008483224
2019/11/15,0.002867061
2019/11/18,0.001305869
2019/11/19,0.003783135
2019/11/20,-0.001685329
2019/11/21,-0.00337422
2019/11/22,-0.009461268
2019/11/25,-0.008453396
2019/11/26,-0.005892373
2019/11/27,-0.001978399
2019/11/28,0.004946352
2019/11/29,0.00446244
2019/12/2,0.018141333
2019/12/3,0.008531242
2019/12/4,0.008189115
2019/12/5,-0.014940092
2019/12/6,-0.007680399
2019/12/9,-0.004763932
2019/12/10,0.004773114
2019/12/11,0.003802734
2019/12/12,0.00055896
2019/12/13,0.009862194
2019/12/16,0.00441464
2019/12/17,0.00330499
2019/12/18,0.000128792
2019/12/19,0.00269714
2019/12/20,0.00557555
2019/12/23,0.029291734
2019/12/27,0.022392128
2019/12/30,0.028439552
2020/1/2,0.027841829
2020/1/3,0.040357243
2020/1/6,0.020966228
2020/1/7,0.012864697
2020/1/8,-0.017741669
2020/1/9,-0.007705878
2020/1/10,-0.012303895
2020/1/13,-0.004689338
2020/1/14,-0.001426629
2020/1/15,0.004457408
2020/1/16,0.007811367
2020/1/17,0.006767794
2020/1/20,-0.004335705
2020/1/21,0.000875184
2020/1/22,0.003709904
2020/1/23,0.007525723
2020/1/24,0.01713639
2020/1/27,0.004731831
2020/1/28,0.004088402
2020/1/29,0.000548684
2020/1/30,0.007393237
2020/1/31,-0.001952341
2020/2/3,-0.015769581
2020/2/4,-0.018286461
2020/2/5,-0.00299856
2020/2/6,0.011032282
2020/2/7,0.010978892
2020/2/10,0.00284135
2020/2/11,-0.006870606
2020/2/12,0.004140353
2020/2/13,0.008331774
2020/2/14,0.00891532
2020/2/17,0.010359379
2020/2/18,0.016716621
2020/2/19,0.024931333
2020/2/20,0.035519032
2020/2/21,0.044070185
2020/2/24,0.010440515
2020/2/25,-0.009936706
2020/2/26,-0.005290423
2020/2/27,-0.031023128
2020/2/28,-0.022747582
2020/3/2,-0.0138241
2020/3/3,0.025355661
2020/3/4,0.037100475
2020/3/5,0.042138885
2020/3/6,0.01285692
2020/3/9,-0.00752117
2020/3/10,-0.015853344
2020/3/11,-0.072113812
2020/3/12,-0.052301583
2020/3/13,-0.104114915
2020/3/16,-0.006849684
2020/3/17,-0.04252476
2020/3/18,-0.017390327
2020/3/19,-0.017199604
2020/3/20,0.026712062
2020/3/23,0.10247021
2020/3/24,0.063615808
2020/3/25,0.065466961
2020/3/26,0.00214977
2020/3/27,0.005576583
2020/3/30,-0.01550168
2020/3/31,-0.030434246
2020/4/1,0.009927552
2020/4/2,0.00349805
2020/4/3,0.047175613
2020/4/6,0.018545263
2020/4/7,0.016570895
2020/4/8,0.025847436
2020/4/9,0.066666455
2020/4/14,0.03039129
2020/4/15,0.024673416
2020/4/16,-0.03249859
2020/4/17,-0.019005507
2020/4/20,-0.023820287
2020/4/21,0.01687662
2020/4/22,0.033315495
2020/4/23,0.011364493
2020/4/24,0.000594058
2020/4/27,-0.027386069
2020/4/28,-0.003779715
2020/4/29,-0.005215401
2020/4/30,-0.007354064
2020/5/1,0.008525274
2020/5/4,-0.002949274
2020/5/5,-0.000462867
2020/5/6,0.000843079
2020/5/7,0.00187015
2020/5/11,0.004950646
2020/5/12,0.003791087
2020/5/13,0.020863277
2020/5/14,0.017911219
2020/5/15,0.012230479
2020/5/18,0.003833635
2020/5/19,0.009168319
2020/5/20,-0.010566452
2020/5/21,-0.000864251
2020/5/22,-0.0161967
2020/5/26,-0.022038289
2020/5/27,-0.002410383
2020/5/28,0.00865087
2020/5/29,0.018067444
2020/6/1,0.01501706
2020/6/2,-0.02050758
2020/6/3,-0.01768929
2020/6/4,-0.03229344
2020/6/5,-0.006011321
2020/6/8,0.013710018
2020/6/9,0.022233636
2020/6/10,0.027854685
2020/6/11,0.0088515
2020/6/12,-0.012211494
2020/6/15,-0.007119604
2020/6/16,-0.002407164
2020/6/17,0.003060962
2020/6/18,0.011123861
2020/6/19,0.026375851
2020/6/22,0.026480975
2020/6/23,0.013857934
2020/6/24,-0.005238777
2020/6/25,-0.012685119
2020/6/26,0.008901992
2020/6/29,0.005649595
2020/6/30,0.011292498
2020/7/1,0.004627709
2020/7/2,0.00124451
2020/7/3,0.011622381
2020/7/6,0.006766449
2020/7/7,0.023436693
2020/7/8,0.012302027
2020/7/9,0.003555325
2020/7/10,-0.000871201
2020/7/13,-0.00581072
2020/7/14,0.00110445
2020/7/15,0.001097995
2020/7/16,0.002491593
2020/7/17,0.007189474
2020/7/20,0.023496658
2020/7/21,0.024122528
2020/7/22,0.035199433
2020/7/23,0.033786979
2020/7/24,0.046979072
2020/7/27,0.02938372
2020/7/28,0.0231687
2020/7/29,0.010933571
2020/7/30,0.012088267
2020/7/31,0.001873411
2020/8/3,0.012940907
2020/8/4,0.053799491
2020/8/5,0.052572273
2020/8/6,0.012912375
2020/8/7,0.000109436
2020/8/10,-0.072709184
2020/8/11,-0.045943726
2020/8/12,-0.038019417
2020/8/13,0.002877525
2020/8/14,0.024350717
2020/8/17,0.037514654
2020/8/18,0.009458759
2020/8/19,-0.032815718
2020/8/20,-0.037355452
2020/8/21,-0.010423179
2020/8/24,-0.013985229
2020/8/25,0.007587485
2020/8/26,-0.009540562
2020/8/27,0.027719798
2020/8/28,0.02204413
2020/9/1,0.003766795
2020/9/2,-0.009826242
2020/9/3,-0.022701948
2020/9/4,-0.007841626
2020/9/7,-0.016549914
2020/9/8,0.017378244
2020/9/9,0.02271014
2020/9/10,0.011109059
2020/9/11,0.006658848
2020/9/14,-0.008697301
2020/9/15,0.008640421
2020/9/16,-0.014973449
2020/9/17,0.003075891
2020/9/18,-0.031065285
2020/9/21,-0.015424334
2020/9/22,-0.040455436
2020/9/23,-0.024679739
2020/9/24,-0.020812321
2020/9/25,-0.002784241
2020/9/28,0.01515371
2020/9/29,0.013530656
2020/9/30,0.020337035
2020/10/1,0.009179888
2020/10/2,0.011378932
2020/10/5,0.006140748
2020/10/6,-0.015034322
2020/10/7,-0.010015109
2020/10/8,0.013872275
2020/10/9,0.019873451
2020/10/12,-0.007179922
2020/10/13,-0.002376774
2020/10/14,-0.017767646
2020/10/15,0.008335774
2020/10/16,-0.001034165
2020/10/19,0.000866612
2020/10/20,0.014513866
2020/10/21,-0.006625254
2020/10/22,0.001703288
2020/10/23,-0.011967494
2020/10/26,0.003639206
